"","time","exp_level","type","bound"
"1",0,0.751238095238096,"wild","lower"
"2",6,0.131238095238096,"wild","lower"
"3",15,0.0693333333333335,"wild","lower"
"4",22,0.179809523809524,"wild","lower"
"5",30,0.278857142857143,"wild","lower"
"6",45,0.899809523809524,"wild","lower"
"7",0,0.998857142857143,"wild","pred"
"8",6,0.162666666666667,"wild","pred"
"9",15,0.101714285714286,"wild","pred"
"10",22,0.219809523809524,"wild","pred"
"11",30,0.381714285714286,"wild","pred"
"12",45,1.0007619047619,"wild","pred"
"13",0,1.25219047619048,"wild","upper"
"14",6,0.193142857142857,"wild","upper"
"15",15,0.130285714285715,"wild","upper"
"16",22,0.263619047619048,"wild","upper"
"17",30,0.478857142857143,"wild","upper"
"18",45,1.09790476190476,"wild","upper"
"19",0,0.897904761904762,"mutant","lower"
"20",6,0.183619047619048,"mutant","lower"
"21",15,0.0236190476190479,"mutant","lower"
"22",22,0.583619047619048,"mutant","lower"
"23",30,0.749333333333334,"mutant","lower"
"24",45,1.09980952380952,"mutant","lower"
"25",0,1.0007619047619,"mutant","pred"
"26",6,0.208380952380953,"mutant","pred"
"27",15,0.0464761904761908,"mutant","pred"
"28",22,0.600761904761905,"mutant","pred"
"29",30,0.850285714285714,"mutant","pred"
"30",45,1.18171428571429,"mutant","pred"
"31",0,1.10171428571429,"mutant","upper"
"32",6,0.240761904761905,"mutant","upper"
"33",15,0.0712380952380953,"mutant","upper"
"34",22,0.621714285714286,"mutant","upper"
"35",30,0.953142857142857,"mutant","upper"
"36",45,1.26361904761905,"mutant","upper"
